Column1,Customer,Furnace,Concatenated Reference,Address Line 1,Address Line 2,Address Line 3,Form Number:,Calibration Method,Tolerance Source,Item,Model Number,Serial Number,Unit Number,Class,Range,Tolerance,Heating Method,Working Zone Size,Cubic Feet,Cal. Interval,Controller,Cont S/N,Cont Tol.,Recorder,Rec S/N,Rec Tol.,Furnace Specific Comments,Test Location,Oven Location,Condition,PB,Intergral,Derivative,Other 1,Other 2,Fine Print,Check Rec,Load,Lag Limit,Recovery Limit,Furnace Lookup,,,,Customer,Address Line 1,Address Line 2,Address Line 3,Form Number,Calibration Method,Tolerance Source,Item,Model Number,Serial Number,Unit Number,Class,Range,Tolerance,Heating Method,Working Zone Size,Cubic Feet,Cal. Interval,Controller,Cont S/N,Cont Tol.,Recorder,Rec S/N,Rec Tol.,Furnace Specific Comments,Test Location,Oven Location,Condition,PB,Integral,Derivative,Other 1,Other2,Fine Print,Check Rec,Load,Lag Limit,Recovery Limit,,Customers,,AssetPoolId,
99,CHROME PLUS INTERNATIONAL - WICHITA,OVEN NO. 1,CHROME PLUS INTERNATIONAL - WICHITAOVEN NO. 1,3939 W 29TH ST S.,"WICHITA, KS 67217-0364",,40100 Revision C 12-26-19,"JGI WP4100, AMS 2750H",SPECIFICATION,PAINT BAKE OVEN,SJS PC101,32707     W-CPI-1040U,OVEN NO. 1,5D per AMS 2750H,125°F/250°F,±25.0°F,ELECTRIC PROPORTIONAL,"168"" X 66"" X 84""",539,Q,FDC-4100,675626,±2.0°F,EUROTHERM 6100A,W-CPI-4176R,±2.0°F,,On-Site,PRODUCTION - Tested on Site,Used,Unavailable,,,,,"The reported expanded uncertainty of measurement is stated as the standard uncertainty of measurement multiplied by the coverage factor k such that the coverage probability corresponds to approximately 95%. This estimate was performed in accordance with guidelines set forth in ANSI/NCSL Z540-2. The acceptance or rejection of the item(s) is based on the actual test values shown, without adjustment for measurement uncertainty. All testing performed using standards traceable to NIST or to intrinsic standards. This document shall not be reproduced except in full, without the written permission of Johnson Gage and Inspection.",y,Empty,0:00:00,0:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"AMI METALS, INC. - WA DIVISION",,,
100,CHROME PLUS INTERNATIONAL - WICHITA,OVEN NO. 2,CHROME PLUS INTERNATIONAL - WICHITAOVEN NO. 2,3939 W 29TH ST S.,"WICHITA, KS 67217-0364",,40100 Revision C 12-26-19,"JGI WP4100, ASTM E 1417-21",SPECIFICATION,PENETRANT,PC101,4207     W-CPI-1041,OVEN NO. 2,ASTME1417-21,120°F/160°F,±15.0°F,ELECTRIC PROPORTIONAL,"180"" X 60"" X 84""",525,Q,FDC-4100,675624,±2.0°F,N/A,N/A,N/A,,On-Site,PRODUCTION - Tested on Site,Used,Unavailable,,,,,"The reported expanded uncertainty of measurement is stated as the standard uncertainty of measurement multiplied by the coverage factor k such that the coverage probability corresponds to approximately 95%. This estimate was performed in accordance with guidelines set forth in ANSI/NCSL Z540-2. The acceptance or rejection of the item(s) is based on the actual test values shown, without adjustment for measurement uncertainty. All testing performed using standards traceable to NIST or to intrinsic standards. This document shall not be reproduced except in full, without the written permission of Johnson Gage and Inspection.",y,Empty,0:00:00,0:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"AMI METALS, INC. - WICHITA DIVISION",,,
101,CHROME PLUS INTERNATIONAL - WICHITA,OVEN NO. 3,CHROME PLUS INTERNATIONAL - WICHITAOVEN NO. 3,3939 W 29TH ST S.,"WICHITA, KS 67217-0364",,40100 Revision C 12-26-19,"JGI WP4100, AMS 2750H",SPECIFICATION,STRESS RELIEF,SJS P002,8317  W-CPI-1090,OVEN NO. 3,5D per AMS 2750H,200°F/400°F,±25.0°F,ELECTRIC PROPORTIONAL,"43"" X 84"" X 90""",188.1,Q,FUJI PXR4,B5L1942C,±2.0°F,Eurotherm Chessel 6100A,5256764,±2.0°F,,On-Site,PRODUCTION - Tested on Site,Used,Unavailable,,,,,"The reported expanded uncertainty of measurement is stated as the standard uncertainty of measurement multiplied by the coverage factor k such that the coverage probability corresponds to approximately 95%. This estimate was performed in accordance with guidelines set forth in ANSI/NCSL Z540-2. The acceptance or rejection of the item(s) is based on the actual test values shown, without adjustment for measurement uncertainty. All testing performed using standards traceable to NIST or to intrinsic standards. This document shall not be reproduced except in full, without the written permission of Johnson Gage and Inspection.",y,Empty Rack,0:00:00,0:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"AMI METALS, INC. MO DIVISION",,,
102,CHROME PLUS INTERNATIONAL - WICHITA,OVEN NO. 4,CHROME PLUS INTERNATIONAL - WICHITAOVEN NO. 4,3939 W 29TH ST S.,"WICHITA, KS 67217-0364",,40100 Revision C 12-26-19,"JGI WP4100, AMS 2750H",SPECIFICATION,PAINT BAKE OVEN,SJS PC101,12217  W-CPI-1074U,OVEN NO. 4,3D per AMS 2750H,125°F/200°F,±15.0°F,ELECTRIC PROPORTIONAL,"180"" X 66"" X 84""",577.5,Q,FDC-4100-4,W-CPI-1074C,±2.0°F,EUROTHERM,W-CPI-4176R,±2.0°F,,On-Site,PRODUCTION - Tested on Site,Used,Unavailable,,,,,"The reported expanded uncertainty of measurement is stated as the standard uncertainty of measurement multiplied by the coverage factor k such that the coverage probability corresponds to approximately 95%. This estimate was performed in accordance with guidelines set forth in ANSI/NCSL Z540-2. The acceptance or rejection of the item(s) is based on the actual test values shown, without adjustment for measurement uncertainty. All testing performed using standards traceable to NIST or to intrinsic standards. This document shall not be reproduced except in full, without the written permission of Johnson Gage and Inspection.",y,Empty,0:00:00,0:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"AMI METALS, INC. NJ DIVISION",,,
103,CHROME PLUS INTERNATIONAL - WICHITA,OVEN NO. 5 (W-CPI-0335),CHROME PLUS INTERNATIONAL - WICHITAOVEN NO. 5 (W-CPI-0335),3939 W 29TH ST S.,"WICHITA, KS 67217-0364",,40100 Revision C 12-26-19,"JGI WP4100, AMS 2750H",SPECIFICATION,BAKE OVEN,POM7-136FX,P38-412,OVEN NO. 5 (W-CPI-0335),2D per AMS 2750H,350°F/550°F,±10.0°F,ELECTRIC PROPORTIONAL,"36"" X 21"" X 18""",7.9,M,PXR4,PXR4-REY1-4VA1,±2.0°F,Eurotherm Chessel 6100A,UR33229-001-001 2605 Z38,±2.0°F,,On-Site,PRODUCTION - Tested on Site,Used,Unknown,,,,,"The reported expanded uncertainty of measurement is stated as the standard uncertainty of measurement multiplied by the coverage factor k such that the coverage probability corresponds to approximately 95%. This estimate was performed in accordance with guidelines set forth in ANSI/NCSL Z540-2. The acceptance or rejection of the item(s) is based on the actual test values shown, without adjustment for measurement uncertainty. All testing performed using standards traceable to NIST or to intrinsic standards. This document shall not be reproduced except in full, without the written permission of Johnson Gage and Inspection.",y,Empty,0:00:00,0:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AO AVIATION LLC,,,
104,CHROME PLUS INTERNATIONAL - WICHITA,OVEN NO. 6,CHROME PLUS INTERNATIONAL - WICHITAOVEN NO. 6,3939 W 29TH ST S.,"WICHITA, KS 67217-0364",,40100 Revision C 12-26-19,"JGI WP4100, AMS 2750H",SPECIFICATION,STAINLESS FURNACE,80573,W-CPI-1205,OVEN NO. 6,4D perAMS 2750H,500°F/950°F,±18.0°F,ELECTRIC PROPORTIONAL,"34"" X 29"" X 34""",19.4,Q,Eurotherm 3504,FC1816001377,±2.0°F,EUROTHERM 6100A,5256764,±2.0°F,,On-Site,PRODUCTION - Tested on Site,Used,Unavailable,,,,,"The reported expanded uncertainty of measurement is stated as the standard uncertainty of measurement multiplied by the coverage factor k such that the coverage probability corresponds to approximately 95%. This estimate was performed in accordance with guidelines set forth in ANSI/NCSL Z540-2. The acceptance or rejection of the item(s) is based on the actual test values shown, without adjustment for measurement uncertainty. All testing performed using standards traceable to NIST or to intrinsic standards. This document shall not be reproduced except in full, without the written permission of Johnson Gage and Inspection.",y,Empty,0:00:00,0:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"APAC Kansas Inc., Shears Division",,,
105,CHROME PLUS INTERNATIONAL - WICHITA,OVEN NO. 9,CHROME PLUS INTERNATIONAL - WICHITAOVEN NO. 9,3939 W 29TH ST S.,"WICHITA, KS 67217-0364",,40100 Revision C 12-26-19,"JGI WP4100, AMS 2750H",SPECIFICATION,SMALL EMBRITTLEMENT OVEN,DESPATCH,150638-L,OVEN NO. 9,3D per AMS 2750H,225°F/635°F,±15.0°F,ELECTRIC,"20"" X 29"" X 20""",12,Q,Eurotherm EPC 3016,PL2307004380,±2.0°F,EUROTHERM 6100A,UR33229-001-001-2605 Z38,±2.0°F,,On-Site,PRODUCTION - Tested on Site,Used,Unavailable,,,,,"The reported expanded uncertainty of measurement is stated as the standard uncertainty of measurement multiplied by the coverage factor k such that the coverage probability corresponds to approximately 95%. This estimate was performed in accordance with guidelines set forth in ANSI/NCSL Z540-2. The acceptance or rejection of the item(s) is based on the actual test values shown, without adjustment for measurement uncertainty. All testing performed using standards traceable to NIST or to intrinsic standards. This document shall not be reproduced except in full, without the written permission of Johnson Gage and Inspection.",y,Empty Shelves,0:00:00,0:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,APAX WICHITA,,,
106,CHROME PLUS INTERNATIONAL - WICHITA,OVEN NO. 11 W-CPI-0304,CHROME PLUS INTERNATIONAL - WICHITAOVEN NO. 11 W-CPI-0304,3939 W 29TH ST S.,"WICHITA, KS 67217-0364",,40100 Revision C 12-26-19,"JGI WP4100, AMS 2750H",SPECIFICATION,OVEN NO. 11,BLUE M MP-246G-HP,19X-104-9,OVEN NO. 11 W-CPI-0304,5D per AMS 2750H,225°F/550°F,±25.0°F,ELECTRIC PROPORTIONAL,"20"" X 34"" X 44""",17.3,Q,FE-PXR-4,FE-PXR-4,±2.0°F,Eurotherm Chessel 6100A,5256764,±2.0°F,,On-Site,PRODUCTION - Tested on Site,Used,Unavailable,,,,,"The reported expanded uncertainty of measurement is stated as the standard uncertainty of measurement multiplied by the coverage factor k such that the coverage probability corresponds to approximately 95%. This estimate was performed in accordance with guidelines set forth in ANSI/NCSL Z540-2. The acceptance or rejection of the item(s) is based on the actual test values shown, without adjustment for measurement uncertainty. All testing performed using standards traceable to NIST or to intrinsic standards. This document shall not be reproduced except in full, without the written permission of Johnson Gage and Inspection.",y,Empty,0:00:00,0:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,APEX COMPOSITES - OKLAHOMA DIV.,,,
107,CHROME PLUS INTERNATIONAL - WICHITA,W-CPI-2163 (Oven No.12),CHROME PLUS INTERNATIONAL - WICHITAW-CPI-2163 (Oven No.12),3939 W 29TH ST S.,"WICHITA, KS 67217-0364",,40100 Revision C 12-26-19,"JGI WP4100, AMS 2750H",SPECIFICATION,OVEN NO. 12,JPW,1280,W-CPI-2163 (Oven No.12),2D per AMS 2750H,120°F/450°F,±10.0°F,ELECTRIC PROPORTIONAL,"120"" X 72"" X 96""",480,M,WATLOW F4T,22973,±2.0°F,EUROTHERM 6100A,W-CPI-4176R,±2.0°F,,On-Site,PRODUCTION - Tested on Site,Used,Unavailable,,,,,"The reported expanded uncertainty of measurement is stated as the standard uncertainty of measurement multiplied by the coverage factor k such that the coverage probability corresponds to approximately 95%. This estimate was performed in accordance with guidelines set forth in ANSI/NCSL Z540-2. The acceptance or rejection of the item(s) is based on the actual test values shown, without adjustment for measurement uncertainty. All testing performed using standards traceable to NIST or to intrinsic standards. This document shall not be reproduced except in full, without the written permission of Johnson Gage and Inspection.",y,Empty,0:00:00,0:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,APEX ENGINEERING WICHITA DIV.,,,
108,CHROME PLUS INTERNATIONAL - WICHITA,W-CPI-3046 (No. 7),CHROME PLUS INTERNATIONAL - WICHITAW-CPI-3046 (No. 7),3939 W 29TH ST S.,"WICHITA, KS 67217-0364",,40100 Revision C 12-26-19,"JGI WP4100, AMS 2750H",SPECIFICATION,MAIN EMBRITTLEMENT OVEN NO. 7,DESPATCH RS3HD,54087,W-CPI-3046 (No. 7),3D per AMS 2750H,225°F/550°F,±15.0°F,ELECTRIC,"44"" X 44"" X 54""",60.5,Q,CAL 9500,W-CPI-3046C,±2.0°F,Eurotherm Chessel 6100A,5256764,±2.0°F,,On-Site,PRODUCTION - Tested on Site,Used,Unavailable,,,,,"The reported expanded uncertainty of measurement is stated as the standard uncertainty of measurement multiplied by the coverage factor k such that the coverage probability corresponds to approximately 95%. This estimate was performed in accordance with guidelines set forth in ANSI/NCSL Z540-2. The acceptance or rejection of the item(s) is based on the actual test values shown, without adjustment for measurement uncertainty. All testing performed using standards traceable to NIST or to intrinsic standards. This document shall not be reproduced except in full, without the written permission of Johnson Gage and Inspection.",y,Empty Shelves,0:00:00,0:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,API METLAB,,,
109,CHROME PLUS INTERNATIONAL - WICHITA,W-CPI-3047 (NO. 8),CHROME PLUS INTERNATIONAL - WICHITAW-CPI-3047 (NO. 8),3939 W 29TH ST S.,"WICHITA, KS 67217-0364",,40100 Revision C 12-26-19,"JGI WP4100, AMS 2750H",SPECIFICATION,OVEN NO. 8,GRIEVE AF-650,370334,W-CPI-3047 (NO. 8),2D per AMS 2750H,200°F/500°F,±10.0°F,ELECTRIC PROPORTIONAL,"24"" X 24"" X 36""",12,2 Mo,FE PXR 4,OVEN 8,±2.0°F,Eurotherm Chessel 6100A,UR33229-001-001 2605 Z38,±2.0°F,,On-Site,PRODUCTION - Tested on Site,Used,Unavailable,,,,,"The reported expanded uncertainty of measurement is stated as the standard uncertainty of measurement multiplied by the coverage factor k such that the coverage probability corresponds to approximately 95%. This estimate was performed in accordance with guidelines set forth in ANSI/NCSL Z540-2. The acceptance or rejection of the item(s) is based on the actual test values shown, without adjustment for measurement uncertainty. All testing performed using standards traceable to NIST or to intrinsic standards. This document shall not be reproduced except in full, without the written permission of Johnson Gage and Inspection.",y,Empty Shelves,0:00:00,0:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,API SERVICES,,,
110,CHROME PLUS INTERNATIONAL - WICHITA,W-CPI-3049 (Oven 10),CHROME PLUS INTERNATIONAL - WICHITAW-CPI-3049 (Oven 10),3939 W 29TH ST S.,"WICHITA, KS 67217-0364",,40100 Revision C 12-26-19,"JGI WP4100, AMS 2750H",SPECIFICATION,OVEN NO. 10,DESPATCH RS4HD,70773,W-CPI-3049,2D per AMS 2750H,100°F/180°F,±10.0°F,GAS PROPORTIONAL,"48"" X 66"" X 66""",121,M,Barber-Colman 7SD,5.25,±2.0°F,Eurotherm Chessel 6100A,5256764,±2.0°F,,On-Site,PRODUCTION - Tested on Site,Used,Unavailable,,,,,"The reported expanded uncertainty of measurement is stated as the standard uncertainty of measurement multiplied by the coverage factor k such that the coverage probability corresponds to approximately 95%. This estimate was performed in accordance with guidelines set forth in ANSI/NCSL Z540-2. The acceptance or rejection of the item(s) is based on the actual test values shown, without adjustment for measurement uncertainty. All testing performed using standards traceable to NIST or to intrinsic standards. This document shall not be reproduced except in full, without the written permission of Johnson Gage and Inspection.",y,Empty Rack,0:00:00,0:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"APPH WICHITA, INC.",,,
111,CHROME PLUS INTERNATIONAL - WICHITA,W-CPI-4143 (Oven 13),CHROME PLUS INTERNATIONAL - WICHITAW-CPI-4143 (Oven 13),3939 W 29TH ST S.,"WICHITA, KS 67217-0364",,40100 Revision C 12-26-19,"JGI WP4100, AMS 2750H",SPECIFICATION,PAINT BAKE OVEN,COL-MET SPRAY BOOTHS,OVEN NO. 13,W-CPI-4143,3D per AMS 2750H,140°F/300°F,±15.0°F,GAS PROPORTIONAL,See Drawing,1298,Q,RED LION T16,23144,±2.0°F,EUROTHERM 6100A,PL1504000436-0315-PL3,±2.0°F,,On-Site,PRODUCTION - Tested on Site,Used,Unavailable,,,,,"The reported expanded uncertainty of measurement is stated as the standard uncertainty of measurement multiplied by the coverage factor k such that the coverage probability corresponds to approximately 95%. This estimate was performed in accordance with guidelines set forth in ANSI/NCSL Z540-2. The acceptance or rejection of the item(s) is based on the actual test values shown, without adjustment for measurement uncertainty. All testing performed using standards traceable to NIST or to intrinsic standards. This document shall not be reproduced except in full, without the written permission of Johnson Gage and Inspection.",y,Empty,0:00:00,0:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"APPLIED TECHNICAL SERVICES, LLC",,,
112,CHROME PLUS INTERNATIONAL - WICHITA,W-CPI-4144 (Oven 14),CHROME PLUS INTERNATIONAL - WICHITAW-CPI-4144 (Oven 14),3939 W 29TH ST S.,"WICHITA, KS 67217-0364",,40100 Revision C 12-26-19,"JGI WP4100, AMS 2750H",SPECIFICATION,PAINT BAKE OVEN,COL-MET SPRAY BOOTHS,OVEN NO. 14,W-CPI-4144,3D per AMS 2750H,160°F/250°F,±15.0°F,GAS PROPORTIONAL,"171"" X 148"" X 94""",1377,Q,RED LION T16,23144,±2.0°F,EUROTHERM 6100A,PL1504000436-0315-PL3,±2.0°F,,On-Site,PRODUCTION - Tested on Site,Used,Unavailable,,,,,"The reported expanded uncertainty of measurement is stated as the standard uncertainty of measurement multiplied by the coverage factor k such that the coverage probability corresponds to approximately 95%. This estimate was performed in accordance with guidelines set forth in ANSI/NCSL Z540-2. The acceptance or rejection of the item(s) is based on the actual test values shown, without adjustment for measurement uncertainty. All testing performed using standards traceable to NIST or to intrinsic standards. This document shall not be reproduced except in full, without the written permission of Johnson Gage and Inspection.",y,Empty,0:00:00,0:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,APSCO INC.,,,
113,CHROME PLUS INTERNATIONAL - WICHITA,W-CPI-4988 (Oven 15),CHROME PLUS INTERNATIONAL - WICHITAW-CPI-4988 (Oven 15),3939 W 29TH ST S.,"WICHITA, KS 67217-0364",,40100 Revision C 12-26-19,"JGI WP4100, AMS 2750H",SPECIFICATION,BAKE OVEN,CUSTOM,OVEN NO. 15,W-CPI-4988,1D per AMS 2750H,90°F/125°F,±5.0°F,ELECTRIC PROPORTIONAL,"156"" X 96"" X 48""",416,M,Eurotherm 3504,PL1940003465,±2.0°F,Eurotherm Multipoint,W-CPI-4176R,±2.0°F,,On-Site,PRODUCTION - Tested on Site,Used,Unavailable,,,,,"The reported expanded uncertainty of measurement is stated as the standard uncertainty of measurement multiplied by the coverage factor k such that the coverage probability corresponds to approximately 95%. This estimate was performed in accordance with guidelines set forth in ANSI/NCSL Z540-2. The acceptance or rejection of the item(s) is based on the actual test values shown, without adjustment for measurement uncertainty. All testing performed using standards traceable to NIST or to intrinsic standards. This document shall not be reproduced except in full, without the written permission of Johnson Gage and Inspection.",y,Empty Racks,0:00:00,0:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ARCHROCK SERVICES, L.P.",,,
114,CHROME PLUS INTERNATIONAL - WICHITA,OVEN NO. 16 (W-CPI-1429),CHROME PLUS INTERNATIONAL - WICHITAOVEN NO. 16 (W-CPI-1429),3939 W 29TH ST S.,"WICHITA, KS 67217-0364",,40100 Revision C 12-26-19,"JGI WP4100, AMS 2750H",SPECIFICATION,Oven No. 16,Rainer,W-CPI-1429,OVEN NO. 16 (W-CPI-1429),3D per AMS 2750H,200°F/400°F,±15.0°F,ELECTRIC PROPORTIONAL,"94"" X 133"" X 70""",506.4,Q,Love Controls Series 16B,W-CPI-1429C,±2.0°F,EUROTHERM 6100A,5256764,±2.0°F,,On-Site,PRODUCTION - Tested on Site,Used,Unavailable,,,,,"The reported expanded uncertainty of measurement is stated as the standard uncertainty of measurement multiplied by the coverage factor k such that the coverage probability corresponds to approximately 95%. This estimate was performed in accordance with guidelines set forth in ANSI/NCSL Z540-2. The acceptance or rejection of the item(s) is based on the actual test values shown, without adjustment for measurement uncertainty. All testing performed using standards traceable to NIST or to intrinsic standards. This document shall not be reproduced except in full, without the written permission of Johnson Gage and Inspection.",y,Empty,0:00:00,0:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ARCHROCK, INC.",,,
